	ticker	Date	Open	Close
0	MSFT	2018-01-22	90.0	91.61
1	MSFT	2018-01-23	91.9	91.9
2	MSFT	2018-01-24	92.55	91.82
3	MSFT	2018-01-25	92.465	92.33
4	MSFT	2018-01-26	93.12	94.06
5	MSFT	2018-01-29	95.14	93.92
6	MSFT	2018-01-30	93.3	92.74
7	MSFT	2018-01-31	93.75	95.01
8	MSFT	2018-02-01	94.79	94.26
9	MSFT	2018-02-02	93.64	91.78
10	MSFT	2018-02-05	90.56	89.05
11	MSFT	2018-02-06	86.89	91.33
12	MSFT	2018-02-07	90.49	89.61
13	MSFT	2018-02-08	89.71	84.89
14	MSFT	2018-02-09	86.3	88.1
15	MSFT	2018-02-12	88.735	89.13
16	MSFT	2018-02-13	88.93	89.83
17	MSFT	2018-02-14	88.51	90.81
18	MSFT	2018-02-15	91.21	92.66
19	MSFT	2018-02-16	92.45	92.0
20	MSFT	2018-02-20	91.475	92.72
21	MSFT	2018-02-21	92.98	91.49
22	MSFT	2018-02-22	92.05	91.74
23	MSFT	2018-02-23	92.75	94.06
24	MSFT	2018-02-26	94.4	95.42
25	MSFT	2018-02-27	95.74	94.2
26	MSFT	2018-02-28	94.84	93.77
27	MSFT	2018-03-01	93.99	92.85
28	MSFT	2018-03-02	91.58	93.05
29	MSFT	2018-03-05	92.34	93.64
30	MSFT	2018-03-06	94.34	93.32
31	MSFT	2018-03-07	93.16	93.86
32	MSFT	2018-03-08	94.27	94.43
33	MSFT	2018-03-09	95.29	96.54
34	MSFT	2018-03-12	96.5	96.77
35	MSFT	2018-03-13	97.0	94.41
36	MSFT	2018-03-14	95.12	93.85
37	MSFT	2018-03-15	93.53	94.18
38	MSFT	2018-03-16	94.68	94.6
39	MSFT	2018-03-19	93.74	92.89
40	MSFT	2018-03-20	93.05	93.13
